"ID","Reservatorio","Municipio","Bacia","Status","Problemas","Alertas","Data_inicio_niveis","Data_fim_niveis","Registros_niveis","Datas_duplicadas_niveis","Cotas_ausentes","Tem_retiradas","Tem_precipitacao","Tem_CAV","Tem_vertedor","Tem_evaporacao","Tem_comporta","Tem_transferencia","Arquivo","Tamanho_bytes"
12,"Pentecoste","Pentecoste","8","pronto","","353 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,15075,353,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0012.rds",201108
192,"Pesqueiro","Capistrano","10","pronto","","361 data(s) duplicada(s) nos niveis",2008-01-01,2026-04-23,6847,361,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0192.rds",147838
167,"Pirabibu","Quixeramobim","3","pronto","","369 data(s) duplicada(s) nos niveis",2001-10-01,2026-04-23,9308,369,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0167.rds",143213
27,"Poço da Pedra","Campos Sales","1","pronto","","371 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,12043,371,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0027.rds",163689
67,"Poço do Barro","Morada Nova","3","pronto","","352 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,13716,352,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0067.rds",194762
90,"Poço Verde","Itapipoca","11","pronto","","360 data(s) duplicada(s) nos niveis",1993-07-14,2026-04-23,9388,360,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0090.rds",159812
13,"Pompeu Sobrinho","Choró","10","pronto","","368 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,13580,368,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0013.rds",185551
82,"Potiretama","Potiretama","4","pronto","","115 data(s) duplicada(s) nos niveis",1993-06-08,2026-04-23,8633,115,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0082.rds",137662
14,"Prazeres","Barro","2","pronto","","378 data(s) duplicada(s) nos niveis",1989-01-22,2026-04-23,12735,378,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0014.rds",196757
62,"Premuoca","Uruoca","7","pronto","","65 data(s) duplicada(s) nos niveis",1987-03-11,2026-04-22,6701,65,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0062.rds",132946
79,"Quandú","Itapipoca","11","pronto","","337 data(s) duplicada(s) nos niveis",1997-06-01,2026-04-23,10553,337,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0079.rds",161219
68,"Quincoé","Acopiara","1","pronto","","322 data(s) duplicada(s) nos niveis",1992-07-20,2026-04-23,11571,322,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0068.rds",151882
15,"Quixabinha","Mauriti","2","pronto","","311 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,10880,311,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0015.rds",170569
