2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
    1019    0.47      90       8
    1020    0.95      90       8
    1021    0.95      90       8
    1022    0.00      90       8
    1023    0.95      90       8
    1024    0.00      90       8
    1025    0.94      90       8
    1026    0.94      90       8
    1027    0.94      90       8
    1028    0.94      90       8
    1029    0.00      90       8
    1030    0.94      90       8
    1031    0.94      90       8
    1032    0.00      90       8
    1033    0.94      90       8
    1034    0.94      90       8
    1035    0.00      90       8
    1036    0.96      90       8
    1037    0.00      90       8
    1038    0.00      90       8
    1039    0.96      90       8
    1040    0.00      90       8
    1041    0.96      90       8
    1042    0.96      90       8
    1043    0.96      90       8
    1044    0.95      90       8
    1045    0.95      90       8
    1046    0.95      90       8
    1047    0.95      90       8
    1048    0.00      90       8
    1049    0.00      90       8
    1050    0.00      90       8
    1051    1.00      90       8
    1052    1.00      90       8
    1053    1.00      90       8
    1054    0.00      90       8
    1055    0.48      90       8
    1056    1.00      90       8
    1057    1.00      90       8
    1058    1.00      90       8
    1059    0.00      90       8
    1060    1.00      90       8
    1061    1.00      90       8
    1062    1.00      90       8
    1063    1.38      90       8
    1064    0.53      90       8
    1065    0.53      90       8
    1066    1.52      90       8
    1067    1.51      90       8
    1068    0.00      90       8
    1069    1.51      90       8
    1070    0.47      90       8
    1071    0.47      90       8
    1072    0.47      90       8
    1073    0.91      90       8
    1074    0.47      90       8
    1075    0.91      90       8
    1076    0.47      90       8
    1077    0.91      90       8
    1078    0.91      90       8
    1079    0.91      90       8
    1080    0.91      90       8
    1081    0.98      90       8
    1082    0.98      90       8
    1083    0.97      90       8
    1084  106.10      90       8
    1085  106.10      90       8
    1086   81.90      90       8
    1087   81.90      90       8
    1088    0.00      90       8
    1089   67.00      90       8
    1090   67.00      90       8
    1091    0.00      90       8
    1092   56.86      90       8
    1093   56.86      90       8
    1094   56.86      90       8
    1095   49.50      90       8
    1096   49.50      90       8
    1097    0.00      90       8
    1098    0.00      90       8
    1099    0.00      90       8
    1100    0.00      90       8
    1101    0.79      90       8
    1102    0.00      90       8
    1103    0.00      90       8
    1104    0.00      90       8
    1105    0.80      90       8
    1106    0.00      90       8
    1107    0.00      90       8
    1108    0.80      90       8
    1109    0.00      90       8
    1110    0.80      90       8
    1111    0.80      90       8
    1112    0.46      90       8
    1113    0.46      90       8
    1114    0.80      90       8
    1115    0.80      90       8
    1116    0.00      90       8
    1117    0.80      90       8
    1118    0.00      90       8
    1119    0.80      90       8
    1120    0.00      90       8
    1121    0.75      90       8
    1122    0.00      90       8
    1123    0.00      90       8
    1124    0.75      90       8
    1125    0.00      90       8
    1126    0.00      90       8
    1127    0.00      90       8
    1128    0.82      90       8
    1129    0.00      90       8
    1130    0.82      90       8
    1131    0.82      90       8
    1132    0.46      90       8
    1133    0.82      90       8
    1134    0.46      90       8
    1135    0.82      90       8
    1136    0.00      90       8
    1137    0.00      90       8
    1138    0.82      90       8
    1139    0.82      90       8
    1140    0.46      90       8
    1141    0.82      90       8
    1142    0.29      90       8
    1143    0.82      90       8
    1144    0.46      90       8
    1145    0.82      90       8
    1146    0.36      90       8
    1147    0.46      90       8
    1148    0.46      90       8
    1149    0.46      90       8
    1150    0.81      90       8
    1151    0.00      90       8
    1152    0.81      90       8
    1153    0.81      90       8
    1154    0.00      90       8
    1155    0.82      90       8
    1156    0.00      90       8
    1157    0.90      90       8
    1158    0.48      90       8
    1159    0.90      90       8
    1160    0.90      90       8
    1161    0.37      90       8
    1162    1.02      90       8
    1163    0.50      90       8
    1164    1.02      90       8
    1165    0.50      90       8
    1166    1.02      90       8
    1167    0.00      90       8
