2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  432.00 1.3e-05  0.0011       8
  433.00  0.0014    0.61     7.4
  434.00  0.0024     1.2       7
  435.00 0.00031    0.14       8
  436.00  0.0084     2.7       5
  437.00 0.00093     0.2       8
  438.00  0.0058     2.7     5.5
  439.00    0.01     3.5       5
  440.00  0.0047     1.8       7
  441.00  0.0026    0.89     7.3
  442.00  0.0032     1.3     6.5
  443.00 0.00086    0.29     8.1
  444.00 1.1e-05   5e-04     8.1
  445.00 3.7e-07 4.6e-14       8
  446.00 0.00038    0.23     7.9
  447.00  0.0043     1.5     6.3
  448.00   0.013     3.3     4.6
  449.00  0.0082     2.9     6.4
  450.00 0.00053   0.076     7.9
  451.00 5.1e-05   0.009     8.1
  452.00  0.0013    0.36     7.5
  453.00  0.0013    0.67     7.6
  454.00   4e-07 3.9e-11     8.1
  455.00 0.00053    0.24       8
  456.00  0.0046     2.2       6
  457.00  0.0089     3.4     5.2
  458.00  0.0033     1.4     8.1
  459.00  0.0013    0.33     7.3
  460.00 2.7e-07 4.3e-10     8.1
  461.00  0.0012    0.45     7.5
  462.00 0.00016   0.052     8.1
  463.00 4.3e-07 9.3e-14       8
  464.00 7.3e-07 8.3e-14       8
  465.00   9e-07 1.1e-13       8
  466.00 5.9e-07 7.3e-14     8.1
  467.00   0.004     1.9     6.8
  468.00  0.0018    0.81     8.1
  469.00  0.0044     1.9     6.5
  470.00  0.0024     1.1     8.1
  471.00 4.5e-05 0.00088       8
  472.00 2.6e-07 3.9e-14       8
  473.00 5.2e-07   6e-14       8
  474.00 8.7e-07 1.1e-13       8
  475.00 9.5e-07 1.2e-13     7.9
  476.00 4.1e-07 5.3e-14       8
  477.00 3.2e-07 4.2e-14       8
  478.00 5.2e-07 7.2e-14     8.1
  479.00 3.8e-07 5.5e-14     8.1
  480.00  0.0069     2.2     6.7
  481.00 5.4e-07 6.3e-08       8
  482.00 5.7e-07 8.4e-14       8
  483.00 8.5e-07 1.3e-13     8.1
  484.00 6.8e-07 1.1e-13     8.1
  485.00 6.4e-07 1.1e-13       8
  486.00 5.7e-07 9.8e-14     8.1
  487.00   7e-05  0.0023       8
  488.00 5.1e-07 1.3e-13     8.2
  489.00 4.6e-07 8.8e-14     8.1
  490.00  0.0048     1.9     7.1
  491.00 6.2e-07 3.3e-08     8.1
  492.00 8.3e-07 1.7e-13     8.1
  493.00 1.4e-06   3e-13       8
  494.00 5.1e-07 1.1e-13     8.1
  495.00  0.0084     2.3     6.6
  496.00 0.00054   0.071       8
  497.00 4.4e-07 2.1e-11       8
  498.00 5.9e-07 1.3e-13       8
  499.00 1.1e-06 2.5e-13     8.1
  500.00 1.8e-06 4.4e-13     7.9
